Enzyme1,Enzyme2,Percent_Similarity,E2_Sub,Neighbor_Substrate,Substrate_Distance,hit,Normalized_Distance,MSA_Score
2.0,33.0,71.30044843049326,9.0,7.0,6.0223749832025,0.0,0.704524918630146,0.7607376597749658
2.0,33.0,71.30044843049326,9.0,15.0,6.039162766556912,0.0,0.7064888301658335,0.7625568130822553
2.0,33.0,71.30044843049326,9.0,4.0,6.049689715560571,0.0,0.70772032071747,0.763697897329511
2.0,33.0,71.30044843049326,9.0,12.0,6.368769312558977,0.0,0.7450477086232131,0.7984124962409958
2.0,33.0,71.30044843049326,9.0,8.0,7.148131257572746,0.0,0.8362210268615727,0.8840995598881954
2.0,28.0,63.82660687593423,9.0,16.0,5.406777766390262,0.0,0.6325095459087089,0.7286424107039488
2.0,28.0,63.82660687593423,9.0,14.0,5.429148081623564,0.0,0.6351265275087308,0.7309152775500861
2.0,28.0,63.82660687593423,9.0,17.0,5.578365070853041,0.0,0.6525826121079712,0.7461337029222602
2.0,28.0,63.82660687593423,9.0,6.0,5.832013957395133,0.0,0.6822556168029839,0.7722202818302825
2.0,28.0,63.82660687593423,9.0,7.0,6.0223749832025,0.0,0.704524918630146,0.7919638867913326
2.0,28.0,63.82660687593423,9.0,15.0,6.039162766556912,0.0,0.7064888301658335,0.7937114741264037
2.0,28.0,63.82660687593423,9.0,4.0,6.049689715560571,0.0,0.70772032071747,0.7948078317223979
2.0,28.0,63.82660687593423,9.0,12.0,6.368769312558977,0.0,0.7450477086232131,0.8282194909174265
2.0,28.0,63.82660687593423,9.0,8.0,7.148131257572746,0.0,0.8362210268615727,0.9111075912186464
2.0,27.0,50.672645739910315,3.0,5.0,4.538149362054459,0.0,0.5308934297433403,0.7246838079981405
2.0,27.0,50.672645739910315,3.0,2.0,5.290790181744798,0.0,0.6189407887551982,0.791458456152277
2.0,27.0,50.672645739910315,3.0,6.0,5.83245429948156,0.0,0.6823071300304855,0.8419393134427663
2.0,27.0,50.672645739910315,3.0,17.0,6.195750032142233,0.0,0.7248071233396589,0.8767349393482333
2.0,27.0,50.672645739910315,3.0,4.0,6.702032476634709,0.0,0.7840343549558905,0.9262983631536537
2.0,27.0,50.672645739910315,3.0,16.0,7.3432075693606995,0.0,0.8590419443687708,0.9905916666391441
2.0,27.0,50.672645739910315,3.0,15.0,7.860794729083334,0.0,0.9195916531804408,1.0435361021206573
2.0,27.0,50.672645739910315,3.0,14.0,8.234987995965957,0.0,0.9633664897918667,1.082309466596288
2.0,27.0,50.672645739910315,3.0,8.0,8.548136231876935,0.0,1.0,1.1150420565297252
2.0,27.0,50.672645739910315,5.0,2.0,2.8477260895364545,0.0,0.3331399982743574,0.5952319264625157
2.0,27.0,50.672645739910315,5.0,3.0,4.538149362054459,0.0,0.5308934297433403,0.7246838079981405
2.0,27.0,50.672645739910315,5.0,17.0,4.803573686125157,0.0,0.5619439788771855,0.7477297795503143
2.0,27.0,50.672645739910315,5.0,6.0,5.370151251691832,0.0,0.6282248090134491,0.7987397564225932
2.0,27.0,50.672645739910315,5.0,4.0,5.502070715074072,0.0,0.6436573500731362,0.8109337655648645
2.0,27.0,50.672645739910315,5.0,16.0,6.11453693008237,0.0,0.7153064439100296,0.8688970574983271
2.0,27.0,50.672645739910315,5.0,14.0,6.700616330233246,0.0,0.7838686876849149,0.926158143819353
2.0,27.0,50.672645739910315,5.0,15.0,7.0375135318119275,0.0,0.8232804603146437,0.9597444994194707
2.0,27.0,50.672645739910315,5.0,8.0,8.011099983231105,0.0,0.937175047977925,1.0590636705989234
2.0,27.0,50.672645739910315,6.0,17.0,1.5357042030848338,0.0,0.1796536884096471,0.5249706997435469
2.0,27.0,50.672645739910315,6.0,15.0,2.389907146567233,0.0,0.27958224830987227,0.5669964915235736
